# Тайловая карта игры-образца (спека #16, вертикаль 2). Печётся `assetc --game` в секцию `tilemap`
# бандла и читается `TileMapTable` БЕЗ парсинга, прямо из mmap-региона.
#
# ПОТРЕБИТЕЛЬ приезжает СЛЕДУЮЩИМ коммитом этого раунда — образец-платформер (шаг C вертикали 3,
# цели `game_platformer_sim_test` и `game_platformer`): это уровень, по которому он ходит, а не
# раскладка без адресата. С его приездом правка любой строки ниже двигает и живой прогон, и
# sim-голден — перепекать бандл (`assetc --game`) придётся вместе с прогоном голдена.
# Игра-образец-ШУТЕР про тайлы по-прежнему не знает: у неё нет ни гравитации, ни персонажа на ногах.
#
# Единицы — пиксель, +Y ВНИЗ (physics/units.hpp): строка `row` номер ноль — ВЕРХНЯЯ, а `origin` это
# мировые координаты угла тайла (0,0). Ширина карты берётся у первой строки, и остальные обязаны
# совпасть с ней ровно — прямоугольность и есть раскладка.
#
# Гейтов на этот файл ТРИ, и работу они делят так — проверено сломанными реализациями, а не
# рассуждением. `assetc --verify-game` перепекает секцию и сверяет БАЙТЫ с бандлом: ловит «бандл
# отстал от исходника», но читателя не запускает вовсе. `framework_tilemap_bundle_test` читает
# секцию ЧИТАТЕЛЕМ и сверяет развёрнутую сетку с разбором этого текста: только он видит дефект
# чтения. Байтовый голден в `framework_tilemap_bake_test` прибит числом: только он видит
# согласованную перестановку полей в пекаре и читателе, которую первые два переживают молча.
#
# РАСКЛАДКА ОБЯЗАНА ЗАДАВАТЬ ВОПРОСЫ ЖИВОМУ ПРОГОНУ (гейт 8 спеки #16), поэтому в ней нет ни одного
# случайного тайла — каждый кусок отвечает за свой приём контроллера:
#   * сплошной пол во всю ширину и стены по краям — обычная ходьба, разгон и торможение;
#   * холм из двух ступеней 45° (`/` вверх направо, `\` вниз направо) — склон как ПОЛ, гашение
#     подброса на сходе и притяжение к земле на спуске (B1b);
#   * ступень в три тайла (x 448..496) — прощение угла и прыжок в потолок высоты (64 юнита
#     прыжка против 48 юнитов ступени). От подножия склона (x=352) её отделяют 96 юнитов ЧИСТОГО
#     ПОЛА, и это не украшение раскладки: при зазоре РОВНО в ширину корпуса (16) сбежавший по
#     склону персонаж встаёт в стену и залипает в воздухе навсегда — дефект контроллера,
#     воспроизведённый `framework_character_wedge_test`. Пока он не починен, маршрут обязан идти
#     мимо клина, а не сквозь него: карта не место доказывать баг;
#   * две односторонние площадки (`=`) одна над другой, с перехлёстом по X — подъём СКВОЗЬ них
#     снизу и спуск «вниз + прыжок» (B2);
#   * козырёк в правом углу (x 592..640) с зазором в 48 юнитов над полом — касание потолка при
#     росте персонажа в 32. Он отодвинут к самой стене нарочно: под ним ходит движущаяся платформа
#     (центр 520..568, правый край везомого 576), и накрой козырёк её маршрут, везомый им персонаж
#     въезжал бы головой в потолок, то есть в раздавливание.
# Самой движущейся платформы (B3) в карте НЕТ и быть не может: она — ТЕЛО, у сетки начало координат
# только читается. Её кладёт код уровня (`platformer_scene.cpp`), а не этот файл.

map       | field

tile_size | 16
origin    | 0 | 0

legend    | . | empty
legend    | X | solid
# Односторонняя площадка: бит живёт ВМЕСТЕ с `solid` (`grid.hpp`), иначе тайл выпал бы из каждого
# запроса, спрашивающего `solid`, — то есть стал бы дыркой, а не платформой.
legend    | = | solid | oneway
# Склон назван СПЛОШНЫМ УГЛОМ, а не направлением подъёма: `slope_br` — прямой угол внизу справа,
# гипотенуза из нижнего левого в верхний правый, то есть подъём слева направо. Глиф выбран по виду
# гипотенузы, чтобы холм читался в раскладке глазами.
legend    | / | solid | slope_br
legend    | \ | solid | slope_bl

row       | ........................................
row       | ........................................
row       | ........................................
row       | ........................................
row       | ........................................
row       | ........................................
row       | ........................................
row       | ........................................
row       | ...=====................................
row       | ........................................
row       | .....................................XXX
row       | X....=====..................XXX........X
row       | X............../XXXX\.......XXX........X
row       | X............./XXXXXX\......XXX........X
row       | XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
